idx,process,process_general,origin,origin_region,roast,grind,arabica_percentage,pure_arabica,washed,natural,fermented_traditional,fermented_closed_tank,brewing_method
174,Pulped natural,Hybrid,Brazylia,Latam,medium,beans,100,TRUE,TRUE,TRUE,FALSE,FALSE,drip
175,Washed,Washed,Kostaryka,Latam,light,beans,100,TRUE,TRUE,FALSE,FALSE,FALSE,drip
176,Natural,Natural,Etiopia,Africa,light,beans,100,TRUE,FALSE,TRUE,FALSE,FALSE,drip
177,Washed,Washed,Peru,Latam,light,beans,100,TRUE,TRUE,FALSE,FALSE,FALSE,drip
178,Washed,Washed,Etiopia,Africa,light,beans,100,TRUE,TRUE,FALSE,FALSE,FALSE,drip
179,Washed,Washed,Etiopia,Africa,light,beans,100,TRUE,TRUE,FALSE,FALSE,FALSE,drip
180,Natural,Natural,Indonezja,Asia,light,beans,100,TRUE,FALSE,TRUE,FALSE,FALSE,drip
181,Washed,Washed,Etiopia,Africa,light,beans,100,TRUE,TRUE,FALSE,FALSE,FALSE,drip
182,Anaerobic,Fermented,Honduras,Latam,light,beans,100,TRUE,FALSE,FALSE,FALSE,TRUE,drip
183,Washed and natural,Hybrid,Kolumbia,Latam,light,beans,100,TRUE,TRUE,TRUE,FALSE,FALSE,drip
184,Natural,Natural,Rwanda,Africa,light,beans,100,TRUE,FALSE,TRUE,FALSE,FALSE,drip
185,Washed,Washed,Etiopia,Africa,light,beans,100,TRUE,TRUE,FALSE,FALSE,FALSE,drip
186,Washed,Washed,Gwatemala,Latam,light,beans,100,TRUE,TRUE,FALSE,FALSE,FALSE,drip
187,Washed,Washed,Honduras,Latam,light,beans,100,TRUE,TRUE,FALSE,FALSE,FALSE,drip
188,Washed,Washed,Kenia,Africa,light,beans,100,TRUE,TRUE,FALSE,FALSE,FALSE,drip
189,Honey,Honey,Kostaryka,Latam,light,beans,100,TRUE,TRUE,TRUE,TRUE,FALSE,drip
190,Natural,Natural,Nikaragua,Latam,light,beans,100,TRUE,FALSE,TRUE,FALSE,FALSE,drip
191,Washed,Washed,Kolumbia,Latam,light,beans,100,TRUE,TRUE,FALSE,FALSE,FALSE,drip
192,Washed,Washed,Etiopia,Africa,light,beans,100,TRUE,TRUE,FALSE,FALSE,FALSE,drip
193,Washed,Washed,Gwatemala,Latam,light,beans,100,TRUE,TRUE,FALSE,FALSE,FALSE,drip
194,Natural,Natural,Brazylia,Latam,light,beans,100,TRUE,FALSE,TRUE,FALSE,FALSE,drip
195,"Washed, Barrel Aged",Fermented,Kolumbia,Latam,light,beans,100,TRUE,FALSE,FALSE,FALSE,FALSE,drip
196,Washed,Washed,Salwador,Latam,medium,beans,100,TRUE,TRUE,FALSE,FALSE,FALSE,drip
197,Natural,Natural,Sumatra,Asia,medium,beans,100,TRUE,FALSE,TRUE,FALSE,FALSE,drip
198,Washed,Washed,Gwatemala,Latam,light,beans,100,TRUE,TRUE,FALSE,FALSE,FALSE,drip
199,Washed,Washed,Kenia,Africa,light,beans,100,TRUE,TRUE,FALSE,FALSE,FALSE,drip
200,Washed,Washed,Rwanda,Africa,light,beans,100,TRUE,TRUE,FALSE,FALSE,FALSE,drip
201,Natural,Natural,Rwanda,Africa,light,beans,100,TRUE,FALSE,TRUE,FALSE,FALSE,drip
202,Semi-Carbonic Maceration,Fermented,Etiopia,Africa,light,ground,100,TRUE,FALSE,FALSE,FALSE,FALSE,drip
203,Semi-Carbonic Maceration,Fermented,Etiopia,Africa,light,ground,100,TRUE,FALSE,FALSE,FALSE,FALSE,drip
204,Semi-Carbonic Maceration,Fermented,Etiopia,Africa,light,ground,100,TRUE,FALSE,FALSE,FALSE,FALSE,drip
205,Semi-Carbonic Maceration,Fermented,Etiopia,Africa,light,ground,100,TRUE,FALSE,FALSE,FALSE,FALSE,drip
206,Semi-washed,Semi-washed,Kolumbia,Latam,light,ground,100,TRUE,TRUE,FALSE,TRUE,FALSE,drip
207,Semi-washed,Semi-washed,Kolumbia,Latam,light,ground,100,TRUE,TRUE,FALSE,TRUE,FALSE,drip
